index,Mata,MatAlpha,well,quadrant,n_96well,n_384well
926,7,10,G5,D,12,3
927,6,27,H5,B,10,3
928,5,36,H5,D,12,3
929,11,6,A6,A,9,3
930,8,44,A6,C,11,3
931,20,37,B6,A,9,3
932,28,37,B6,C,11,3
933,23,27,C6,A,9,3
934,13,15,C6,C,11,3
935,18,42,D6,A,9,3
936,25,9,D6,C,11,3
937,3,46,E6,A,9,3
938,38,23,E6,C,11,3
939,36,21,F6,A,9,3
940,28,27,F6,C,11,3
941,8,29,G6,A,9,3
942,18,14,G6,C,11,3
943,35,37,H6,A,9,3
944,8,47,H6,C,11,3
945,3,43,A6,B,10,3
946,27,21,A6,D,12,3
947,8,15,B6,B,10,3
948,43,36,B6,D,12,3
949,37,37,C6,B,10,3
950,31,32,C6,D,12,3
951,37,5,D6,B,10,3
952,21,9,D6,D,12,3
953,20,14,E6,B,10,3
954,34,2,E6,D,12,3
955,31,33,F6,B,10,3
956,29,28,F6,D,12,3
957,24,17,G6,B,10,3
958,35,23,G6,D,12,3
959,25,39,H6,B,10,3
960,17,16,H6,D,12,3
961,29,14,A7,A,9,3
962,7,9,A7,C,11,3
963,15,2,B7,A,9,3
964,19,23,B7,C,11,3
965,7,33,C7,A,9,3
966,38,26,C7,C,11,3
967,31,22,D7,A,9,3
968,40,40,D7,C,11,3
969,1,43,E7,A,9,3
970,20,31,E7,C,11,3
971,21,44,F7,A,9,3
972,8,27,F7,C,11,3
973,29,26,G7,A,9,3
974,28,41,G7,C,11,3
975,36,3,H7,A,9,3
976,10,7,H7,C,11,3
977,41,10,A7,B,10,3
978,9,25,A7,D,12,3
979,16,21,B7,B,10,3
980,7,11,B7,D,12,3
981,34,38,C7,B,10,3
982,28,43,C7,D,12,3
983,1,13,D7,B,10,3
984,32,45,D7,D,12,3
985,38,9,E7,B,10,3
986,18,32,E7,D,12,3
987,32,11,F7,B,10,3
988,17,30,F7,D,12,3
989,30,26,G7,B,10,3
990,38,14,G7,D,12,3
991,26,45,H7,B,10,3
992,38,25,H7,D,12,3
993,26,31,A8,A,9,3
994,41,3,A8,C,11,3
995,5,31,B8,A,9,3
996,29,18,B8,C,11,3
997,6,35,C8,A,9,3
998,38,37,C8,C,11,3
999,24,23,D8,A,9,3
1000,9,44,D8,C,11,3
1001,35,43,E8,A,9,3
1002,18,37,E8,C,11,3
1003,12,4,F8,A,9,3
1004,43,30,F8,C,11,3
1005,43,27,G8,A,9,3
1006,2,2,G8,C,11,3
1007,17,45,H8,A,9,3
1008,39,46,H8,C,11,3
1009,8,36,A8,B,10,3
1010,1,7,A8,D,12,3
1011,20,33,B8,B,10,3
1012,29,30,B8,D,12,3
1013,41,6,C8,B,10,3
1014,36,29,C8,D,12,3
1015,19,32,D8,B,10,3
1016,36,19,D8,D,12,3
1017,16,12,E8,B,10,3
1018,9,32,E8,D,12,3
1019,3,36,F8,B,10,3
1020,9,24,F8,D,12,3
1021,42,32,G8,B,10,3
1022,6,28,G8,D,12,3
1023,17,12,H8,B,10,3
1024,40,21,H8,D,12,3
1025,Empty,Empty,A9,A,9,3
1026,22,38,A9,C,11,3
1027,20,24,B9,A,9,3
1028,9,30,B9,C,11,3
1029,13,25,C9,A,9,3
1030,16,38,C9,C,11,3
1031,39,25,D9,A,9,3
1032,34,23,D9,C,11,3
1033,22,46,E9,A,9,3
1034,37,43,E9,C,11,3
1035,30,8,F9,A,9,3
1036,31,27,F9,C,11,3
1037,14,34,G9,A,9,3
1038,14,48,G9,C,11,3
1039,8,48,H9,A,9,3
1040,17,23,H9,C,11,3
1041,31,43,A9,B,10,3
1042,18,16,A9,D,12,3
1043,18,15,B9,B,10,3
1044,20,23,B9,D,12,3
1045,2,3,C9,B,10,3
1046,36,14,C9,D,12,3
1047,35,27,D9,B,10,3
1048,14,32,D9,D,12,3
1049,30,20,E9,B,10,3
1050,33,43,E9,D,12,3
1051,17,20,F9,B,10,3
1052,2,24,F9,D,12,3
1053,24,1,G9,B,10,3
1054,33,8,G9,D,12,3
1055,16,2,H9,B,10,3
1056,34,7,H9,D,12,3
1057,16,39,A10,A,9,3
1058,17,21,A10,C,11,3
1059,10,10,B10,A,9,3
1060,13,5,B10,C,11,3
1061,17,26,C10,A,9,3
1062,13,21,C10,C,11,3
1063,2,18,D10,A,9,3
1064,31,39,D10,C,11,3
1065,4,2,E10,A,9,3
1066,3,1,E10,C,11,3
1067,14,33,F10,A,9,3
1068,33,30,F10,C,11,3
1069,15,30,G10,A,9,3
1070,5,10,G10,C,11,3
1071,17,34,H10,A,9,3
1072,28,35,H10,C,11,3
1073,Empty,Empty,A10,B,10,3
1074,8,37,A10,D,12,3
1075,34,15,B10,B,10,3
1076,26,13,B10,D,12,3
1077,41,22,C10,B,10,3
1078,8,28,C10,D,12,3
1079,19,44,D10,B,10,3
1080,12,48,D10,D,12,3
1081,29,15,E10,B,10,3
1082,42,21,E10,D,12,3
1083,29,29,F10,B,10,3
1084,21,13,F10,D,12,3
1085,43,19,G10,B,10,3
1086,4,3,G10,D,12,3
1087,41,19,H10,B,10,3
1088,12,11,H10,D,12,3
1089,41,26,A11,A,9,3
1090,Empty,Empty,A11,C,11,3
1091,13,12,B11,A,9,3
1092,35,5,B11,C,11,3
1093,24,30,C11,A,9,3
1094,28,13,C11,C,11,3
1095,6,41,D11,A,9,3
1096,24,14,D11,C,11,3
1097,4,45,E11,A,9,3
1098,18,44,E11,C,11,3
1099,26,24,F11,A,9,3
1100,43,10,F11,C,11,3
1101,4,47,G11,A,9,3
1102,41,36,G11,C,11,3
1103,25,34,H11,A,9,3
1104,42,38,H11,C,11,3
1105,40,39,A11,B,10,3
1106,3,11,A11,D,12,3
1107,11,26,B11,B,10,3
1108,33,10,B11,D,12,3
1109,22,30,C11,B,10,3
1110,38,12,C11,D,12,3
1111,24,40,D11,B,10,3
1112,6,26,D11,D,12,3
1113,6,16,E11,B,10,3
1114,28,2,E11,D,12,3
1115,9,43,F11,B,10,3
1116,13,45,F11,D,12,3
1117,22,14,G11,B,10,3
1118,3,7,G11,D,12,3
1119,25,24,H11,B,10,3
1120,18,21,H11,D,12,3
1121,37,38,A12,A,9,3
1122,29,27,A12,C,11,3
1123,2,44,B12,A,9,3
1124,9,34,B12,C,11,3
1125,36,38,C12,A,9,3
1126,11,21,C12,C,11,3
1127,37,29,D12,A,9,3
1128,41,12,D12,C,11,3
1129,15,38,E12,A,9,3
1130,42,40,E12,C,11,3
1131,43,26,F12,A,9,3
1132,25,32,F12,C,11,3
1133,7,30,G12,A,9,3
1134,3,23,G12,C,11,3
1135,Empty,Empty,H12,A,9,3
1136,Empty,Empty,H12,C,11,3
1137,9,48,A12,B,10,3
1138,Empty,Empty,A12,D,12,3
1139,3,15,B12,B,10,3
1140,2,17,B12,D,12,3
1141,34,3,C12,B,10,3
1142,11,29,C12,D,12,3
1143,33,22,D12,B,10,3
1144,18,30,D12,D,12,3
1145,17,32,E12,B,10,3
1146,3,19,E12,D,12,3
1147,6,22,F12,B,10,3
1148,38,33,F12,D,12,3
1149,43,32,G12,B,10,3
1150,39,26,G12,D,12,3
1151,Empty,Empty,H12,B,10,3
1152,Empty,Empty,H12,D,12,3
1153,22,37,A1,A,13,4
1154,14,26,A1,C,15,4
1155,Empty,Empty,B1,A,13,4
1156,32,21,B1,C,15,4
1157,34,11,C1,A,13,4
1158,23,40,C1,C,15,4
1159,32,40,D1,A,13,4
1160,42,25,D1,C,15,4
1161,43,29,E1,A,13,4
1162,30,10,E1,C,15,4
1163,5,46,F1,A,13,4
1164,7,34,F1,C,15,4
1165,27,27,G1,A,13,4
1166,6,44,G1,C,15,4
1167,37,18,H1,A,13,4
1168,32,31,H1,C,15,4
1169,15,15,A1,B,14,4
1170,25,21,A1,D,16,4
1171,41,9,B1,B,14,4
1172,43,7,B1,D,16,4
1173,15,27,C1,B,14,4
1174,14,47,C1,D,16,4
1175,42,8,D1,B,14,4
1176,36,10,D1,D,16,4
1177,38,4,E1,B,14,4
1178,27,22,E1,D,16,4
1179,19,33,F1,B,14,4
1180,30,17,F1,D,16,4
1181,11,28,G1,B,14,4
1182,13,47,G1,D,16,4
1183,27,48,H1,B,14,4
1184,14,38,H1,D,16,4
1185,17,38,A2,A,13,4
1186,37,2,A2,C,15,4
1187,21,14,B2,A,13,4
1188,4,40,B2,C,15,4
1189,31,44,C2,A,13,4
1190,36,24,C2,C,15,4
1191,9,27,D2,A,13,4
1192,34,48,D2,C,15,4
1193,28,16,E2,A,13,4
1194,18,10,E2,C,15,4
1195,4,48,F2,A,13,4
1196,28,22,F2,C,15,4
1197,1,16,G2,A,13,4
1198,11,15,G2,C,15,4
1199,26,47,H2,A,13,4
1200,8,33,H2,C,15,4
1201,30,15,A2,B,14,4
1202,39,37,A2,D,16,4
1203,Empty,Empty,B2,B,14,4
1204,17,29,B2,D,16,4
1205,12,19,C2,B,14,4
1206,35,14,C2,D,16,4
1207,8,23,D2,B,14,4
1208,21,22,D2,D,16,4
1209,41,14,E2,B,14,4
1210,6,7,E2,D,16,4
1211,23,38,F2,B,14,4
1212,20,13,F2,D,16,4
1213,25,33,G2,B,14,4
1214,42,9,G2,D,16,4
1215,23,21,H2,B,14,4
1216,13,37,H2,D,16,4
1217,30,13,A3,A,13,4
1218,33,14,A3,C,15,4
1219,33,33,B3,A,13,4
1220,Empty,Empty,B3,C,15,4
1221,31,48,C3,A,13,4
1222,7,3,C3,C,15,4
1223,31,5,D3,A,13,4
1224,13,35,D3,C,15,4
1225,12,1,E3,A,13,4
1226,33,4,E3,C,15,4
1227,22,41,F3,A,13,4
1228,10,16,F3,C,15,4
1229,11,20,G3,A,13,4
1230,43,17,G3,C,15,4
1231,20,10,H3,A,13,4
1232,4,5,H3,C,15,4
1233,1,9,A3,B,14,4
1234,19,28,A3,D,16,4
1235,43,31,B3,B,14,4
1236,39,24,B3,D,16,4
1237,30,45,C3,B,14,4
1238,7,32,C3,D,16,4
1239,39,7,D3,B,14,4
1240,2,26,D3,D,16,4
1241,26,32,E3,B,14,4
1242,4,11,E3,D,16,4
1243,27,39,F3,B,14,4
1244,26,3,F3,D,16,4
1245,26,33,G3,B,14,4
1246,23,36,G3,D,16,4
1247,4,24,H3,B,14,4
1248,4,42,H3,D,16,4
1249,43,46,A4,A,13,4
1250,28,8,A4,C,15,4
1251,14,13,B4,A,13,4
1252,18,20,B4,C,15,4
1253,38,18,C4,A,13,4
1254,14,22,C4,C,15,4
1255,3,20,D4,A,13,4
1256,39,40,D4,C,15,4
1257,22,22,E4,A,13,4
1258,38,34,E4,C,15,4
1259,2,12,F4,A,13,4
1260,36,31,F4,C,15,4
1261,3,24,G4,A,13,4
1262,14,6,G4,C,15,4
1263,4,16,H4,A,13,4
1264,30,24,H4,C,15,4
1265,26,21,A4,B,14,4
1266,27,25,A4,D,16,4
1267,7,35,B4,B,14,4
1268,Empty,Empty,B4,D,16,4
1269,17,6,C4,B,14,4
1270,35,36,C4,D,16,4
1271,18,19,D4,B,14,4
1272,7,41,D4,D,16,4
1273,7,12,E4,B,14,4
1274,36,27,E4,D,16,4
1275,32,8,F4,B,14,4
1276,14,19,F4,D,16,4
1277,1,5,G4,B,14,4
1278,16,26,G4,D,16,4
1279,1,37,H4,B,14,4
1280,20,16,H4,D,16,4
1281,7,42,A5,A,13,4
1282,30,7,A5,C,15,4
1283,42,39,B5,A,13,4
1284,23,32,B5,C,15,4
1285,16,1,C5,A,13,4
1286,42,45,C5,C,15,4
1287,1,28,D5,A,13,4
1288,37,7,D5,C,15,4
1289,28,21,E5,A,13,4
1290,14,45,E5,C,15,4
1291,43,48,F5,A,13,4
1292,7,8,F5,C,15,4
1293,5,18,G5,A,13,4
1294,9,26,G5,C,15,4
1295,13,26,H5,A,13,4
1296,1,35,H5,C,15,4
1297,4,44,A5,B,14,4
1298,10,17,A5,D,16,4
1299,5,45,B5,B,14,4
1300,26,8,B5,D,16,4
1301,6,42,C5,B,14,4
1302,4,46,C5,D,16,4
1303,40,38,D5,B,14,4
1304,42,18,D5,D,16,4
1305,32,44,E5,B,14,4
1306,23,18,E5,D,16,4
1307,35,15,F5,B,14,4
1308,17,43,F5,D,16,4
1309,24,22,G5,B,14,4
1310,43,18,G5,D,16,4
1311,21,16,H5,B,14,4
1312,4,37,H5,D,16,4
1313,12,32,A6,A,13,4
1314,43,39,A6,C,15,4
1315,21,29,B6,A,13,4
1316,12,35,B6,C,15,4
1317,26,29,C6,A,13,4
1318,41,38,C6,C,15,4
1319,7,4,D6,A,13,4
1320,33,21,D6,C,15,4
1321,40,25,E6,A,13,4
1322,4,6,E6,C,15,4
1323,15,6,F6,A,13,4
1324,36,17,F6,C,15,4
1325,18,40,G6,A,13,4
1326,4,10,G6,C,15,4
1327,31,45,H6,A,13,4
1328,39,42,H6,C,15,4
1329,27,40,A6,B,14,4
1330,5,22,A6,D,16,4
1331,29,9,B6,B,14,4
1332,8,4,B6,D,16,4
1333,1,4,C6,B,14,4
1334,26,34,C6,D,16,4
1335,35,26,D6,B,14,4
1336,25,25,D6,D,16,4
1337,8,5,E6,B,14,4
1338,38,43,E6,D,16,4
1339,15,17,F6,B,14,4
1340,22,27,F6,D,16,4
1341,20,6,G6,B,14,4
1342,38,15,G6,D,16,4
1343,42,11,H6,B,14,4
1344,3,17,H6,D,16,4
1345,23,30,A7,A,13,4
1346,32,10,A7,C,15,4
1347,20,3,B7,A,13,4
1348,38,36,B7,C,15,4
1349,20,4,C7,A,13,4
1350,40,44,C7,C,15,4
1351,24,12,D7,A,13,4
1352,29,6,D7,C,15,4
1353,39,22,E7,A,13,4
1354,3,2,E7,C,15,4
1355,30,18,F7,A,13,4
1356,8,30,F7,C,15,4
1357,41,28,G7,A,13,4
1358,29,5,G7,C,15,4
1359,25,17,H7,A,13,4
1360,2,11,H7,C,15,4
1361,21,7,A7,B,14,4
1362,31,1,A7,D,16,4
1363,3,40,B7,B,14,4
1364,19,48,B7,D,16,4
1365,6,10,C7,B,14,4
1366,32,47,C7,D,16,4
1367,15,34,D7,B,14,4
1368,5,39,D7,D,16,4
1369,7,22,E7,B,14,4
1370,27,6,E7,D,16,4
1371,16,3,F7,B,14,4
1372,43,22,F7,D,16,4
1373,33,35,G7,B,14,4
1374,20,48,G7,D,16,4
1375,13,11,H7,B,14,4
1376,24,2,H7,D,16,4
1377,9,46,A8,A,13,4
1378,34,35,A8,C,15,4
1379,41,39,B8,A,13,4
1380,13,29,B8,C,15,4
1381,42,7,C8,A,13,4
1382,7,39,C8,C,15,4
1383,41,16,D8,A,13,4
1384,41,35,D8,C,15,4
1385,41,40,E8,A,13,4
1386,14,17,E8,C,15,4
1387,40,24,F8,A,13,4
1388,37,30,F8,C,15,4
1389,27,31,G8,A,13,4
1390,41,29,G8,C,15,4
1391,15,8,H8,A,13,4
1392,40,26,H8,C,15,4
1393,24,4,A8,B,14,4
1394,32,2,A8,D,16,4
1395,2,23,B8,B,14,4
1396,18,24,B8,D,16,4
1397,1,29,C8,B,14,4
1398,30,9,C8,D,16,4
1399,35,38,D8,B,14,4
1400,4,13,D8,D,16,4
1401,18,18,E8,B,14,4
1402,28,38,E8,D,16,4
1403,35,10,F8,B,14,4
1404,11,30,F8,D,16,4
1405,27,33,G8,B,14,4
1406,24,43,G8,D,16,4
1407,12,8,H8,B,14,4
1408,7,28,H8,D,16,4
1409,18,7,A9,A,13,4
1410,37,26,A9,C,15,4
1411,18,22,B9,A,13,4
1412,21,8,B9,C,15,4
1413,28,42,C9,A,13,4
1414,23,15,C9,C,15,4
1415,40,31,D9,A,13,4
1416,11,17,D9,C,15,4
1417,27,19,E9,A,13,4
1418,10,41,E9,C,15,4
1419,2,13,F9,A,13,4
1420,39,9,F9,C,15,4
1421,4,4,G9,A,13,4
1422,28,31,G9,C,15,4
1423,15,19,H9,A,13,4
1424,15,26,H9,C,15,4
1425,37,48,A9,B,14,4
1426,35,31,A9,D,16,4
1427,25,35,B9,B,14,4
1428,43,41,B9,D,16,4
1429,25,15,C9,B,14,4
1430,6,48,C9,D,16,4
1431,30,32,D9,B,14,4
1432,9,19,D9,D,16,4
1433,8,19,E9,B,14,4
1434,18,9,E9,D,16,4
1435,7,37,F9,B,14,4
1436,34,26,F9,D,16,4
1437,28,25,G9,B,14,4
1438,12,38,G9,D,16,4
1439,34,18,H9,B,14,4
1440,32,32,H9,D,16,4
1441,39,38,A10,A,13,4
1442,42,20,A10,C,15,4
1443,34,33,B10,A,13,4
1444,15,12,B10,C,15,4
1445,16,14,C10,A,13,4
1446,17,42,C10,C,15,4
1447,22,3,D10,A,13,4
1448,28,6,D10,C,15,4
1449,32,43,E10,A,13,4
1450,24,34,E10,C,15,4
1451,8,11,F10,A,13,4
1452,14,20,F10,C,15,4
1453,3,31,G10,A,13,4
1454,6,21,G10,C,15,4
1455,1,36,H10,A,13,4
1456,35,1,H10,C,15,4
1457,13,31,A10,B,14,4
1458,36,39,A10,D,16,4
1459,41,43,B10,B,14,4
1460,15,21,B10,D,16,4
1461,35,28,C10,B,14,4
1462,22,32,C10,D,16,4
1463,12,33,D10,B,14,4
1464,36,43,D10,D,16,4
1465,12,3,E10,B,14,4
1466,4,22,E10,D,16,4
1467,29,39,F10,B,14,4
1468,11,9,F10,D,16,4
1469,12,26,G10,B,14,4
1470,14,9,G10,D,16,4
1471,8,6,H10,B,14,4
1472,12,28,H10,D,16,4
1473,16,15,A11,A,13,4
1474,34,20,A11,C,15,4
1475,12,12,B11,A,13,4
1476,18,3,B11,C,15,4
1477,12,2,C11,A,13,4
1478,29,23,C11,C,15,4
1479,28,39,D11,A,13,4
1480,31,46,D11,C,15,4
1481,26,1,E11,A,13,4
1482,3,4,E11,C,15,4
1483,37,31,F11,A,13,4
1484,20,43,F11,C,15,4
1485,34,4,G11,A,13,4
1486,28,34,G11,C,15,4
1487,8,1,H11,A,13,4
1488,27,2,H11,C,15,4
1489,2,10,A11,B,14,4
1490,22,1,A11,D,16,4
1491,20,7,B11,B,14,4
1492,13,48,B11,D,16,4
1493,12,40,C11,B,14,4
1494,30,2,C11,D,16,4
1495,21,47,D11,B,14,4
1496,30,47,D11,D,16,4
1497,43,28,E11,B,14,4
1498,7,15,E11,D,16,4
1499,40,32,F11,B,14,4
1500,3,8,F11,D,16,4
1501,27,30,G11,B,14,4
1502,32,29,G11,D,16,4
1503,32,24,H11,B,14,4
1504,38,32,H11,D,16,4
1505,19,47,A12,A,13,4
1506,19,46,A12,C,15,4
1507,3,18,B12,A,13,4
1508,29,25,B12,C,15,4
1509,20,19,C12,A,13,4
1510,27,11,C12,C,15,4
1511,26,30,D12,A,13,4
1512,34,31,D12,C,15,4
1513,26,14,E12,A,13,4
1514,16,37,E12,C,15,4
1515,34,9,F12,A,13,4
1516,12,45,F12,C,15,4
1517,24,16,G12,A,13,4
1518,32,6,G12,C,15,4
1519,Empty,Empty,H12,A,13,4
1520,Empty,Empty,H12,C,15,4
1521,37,15,A12,B,14,4
1522,16,10,A12,D,16,4
1523,19,2,B12,B,14,4
1524,15,11,B12,D,16,4
1525,8,24,C12,B,14,4
1526,34,44,C12,D,16,4
1527,8,41,D12,B,14,4
1528,10,13,D12,D,16,4
1529,15,16,E12,B,14,4
1530,34,13,E12,D,16,4
1531,9,28,F12,B,14,4
1532,23,47,F12,D,16,4
1533,30,36,G12,B,14,4
1534,16,33,G12,D,16,4
1535,Empty,Empty,H12,B,14,4
1536,Empty,Empty,H12,D,16,4
1537,37,8,A1,A,17,5
1538,28,44,A1,C,19,5
1539,19,5,B1,A,17,5
1540,35,22,B1,C,19,5
1541,9,23,C1,A,17,5
1542,1,40,C1,C,19,5
1543,37,41,D1,A,17,5
1544,36,22,D1,C,19,5
1545,18,2,E1,A,17,5
1546,6,36,E1,C,19,5
1547,8,10,F1,A,17,5
1548,32,22,F1,C,19,5
1549,26,38,G1,A,17,5
1550,40,15,G1,C,19,5
1551,1,33,H1,A,17,5
1552,15,23,H1,C,19,5
1553,5,23,A1,B,18,5
1554,9,38,A1,D,20,5
1555,42,15,B1,B,18,5
1556,31,13,B1,D,20,5
1557,1,22,C1,B,18,5
1558,26,39,C1,D,20,5
1559,30,42,D1,B,18,5
1560,6,29,D1,D,20,5
1561,12,13,E1,B,18,5
1562,10,34,E1,D,20,5
1563,4,33,F1,B,18,5
1564,13,20,F1,D,20,5
1565,40,9,G1,B,18,5
1566,12,9,G1,D,20,5
1567,5,25,H1,B,18,5
1568,36,8,H1,D,20,5
1569,18,28,A2,A,17,5
1570,39,17,A2,C,19,5
1571,27,16,B2,A,17,5
1572,12,39,B2,C,19,5
1573,28,45,C2,A,17,5
1574,43,12,C2,C,19,5
1575,7,36,D2,A,17,5
1576,25,29,D2,C,19,5
1577,33,2,E2,A,17,5
1578,12,27,E2,C,19,5
1579,24,41,F2,A,17,5
1580,15,10,F2,C,19,5
1581,27,46,G2,A,17,5
1582,10,40,G2,C,19,5
1583,18,5,H2,A,17,5
1584,3,14,H2,C,19,5
1585,17,40,A2,B,18,5
1586,42,12,A2,D,20,5
1587,13,33,B2,B,18,5
1588,31,36,B2,D,20,5
1589,34,27,C2,B,18,5
1590,10,28,C2,D,20,5
1591,7,16,D2,B,18,5
1592,33,6,D2,D,20,5
1593,20,45,E2,B,18,5
1594,5,44,E2,D,20,5
1595,13,19,F2,B,18,5
1596,25,6,F2,D,20,5
1597,3,21,G2,B,18,5
1598,32,20,G2,D,20,5
1599,39,48,H2,B,18,5
1600,16,41,H2,D,20,5
1601,18,35,A3,A,17,5
1602,41,23,A3,C,19,5
1603,15,5,B3,A,17,5
1604,37,17,B3,C,19,5
1605,34,32,C3,A,17,5
1606,9,1,C3,C,19,5
1607,19,43,D3,A,17,5
1608,23,26,D3,C,19,5
1609,11,25,E3,A,17,5
1610,27,12,E3,C,19,5
1611,23,41,F3,A,17,5
1612,43,11,F3,C,19,5
1613,14,25,G3,A,17,5
1614,2,22,G3,C,19,5
1615,27,41,H3,A,17,5
1616,25,27,H3,C,19,5
1617,4,30,A3,B,18,5
1618,6,37,A3,D,20,5
1619,19,29,B3,B,18,5
1620,30,6,B3,D,20,5
1621,5,47,C3,B,18,5
1622,14,36,C3,D,20,5
1623,26,6,D3,B,18,5
1624,33,17,D3,D,20,5
1625,21,26,E3,B,18,5
1626,33,5,E3,D,20,5
1627,43,15,F3,B,18,5
1628,21,27,F3,D,20,5
1629,20,8,G3,B,18,5
1630,7,31,G3,D,20,5
1631,16,30,H3,B,18,5
1632,28,11,H3,D,20,5
1633,23,37,A4,A,17,5
1634,31,17,A4,C,19,5
1635,27,8,B4,A,17,5
1636,16,17,B4,C,19,5
1637,42,42,C4,A,17,5
1638,31,10,C4,C,19,5
1639,30,21,D4,A,17,5
1640,20,18,D4,C,19,5
1641,21,12,E4,A,17,5
1642,15,22,E4,C,19,5
1643,26,23,F4,A,17,5
1644,22,44,F4,C,19,5
1645,15,32,G4,A,17,5
1646,39,33,G4,C,19,5
1647,9,29,H4,A,17,5
1648,39,20,H4,C,19,5
1649,27,45,A4,B,18,5
1650,25,5,A4,D,20,5
1651,26,43,B4,B,18,5
1652,29,43,B4,D,20,5
1653,20,15,C4,B,18,5
1654,15,33,C4,D,20,5
1655,35,29,D4,B,18,5
1656,25,48,D4,D,20,5
1657,36,4,E4,B,18,5
1658,2,38,E4,D,20,5
1659,43,9,F4,B,18,5
1660,10,31,F4,D,20,5
1661,42,17,G4,B,18,5
1662,15,35,G4,D,20,5
1663,18,48,H4,B,18,5
1664,19,8,H4,D,20,5
1665,39,29,A5,A,17,5
1666,30,43,A5,C,19,5
1667,Empty,Empty,B5,A,17,5
1668,38,2,B5,C,19,5
1669,22,36,C5,A,17,5
1670,36,15,C5,C,19,5
1671,15,29,D5,A,17,5
1672,9,47,D5,C,19,5
1673,42,37,E5,A,17,5
1674,28,15,E5,C,19,5
1675,21,31,F5,A,17,5
1676,3,22,F5,C,19,5
1677,1,2,G5,A,17,5
1678,20,40,G5,C,19,5
1679,18,38,H5,A,17,5
1680,43,40,H5,C,19,5
1681,29,24,A5,B,18,5
1682,39,2,A5,D,20,5
1683,28,7,B5,B,18,5
1684,24,29,B5,D,20,5
1685,23,1,C5,B,18,5
1686,24,8,C5,D,20,5
1687,2,35,D5,B,18,5
1688,2,16,D5,D,20,5
1689,12,41,E5,B,18,5
1690,37,13,E5,D,20,5
1691,2,47,F5,B,18,5
1692,12,15,F5,D,20,5
1693,5,8,G5,B,18,5
1694,27,36,G5,D,20,5
1695,38,27,H5,B,18,5
1696,29,20,H5,D,20,5
1697,31,14,A6,A,17,5
1698,3,12,A6,C,19,5
1699,33,31,B6,A,17,5
1700,22,10,B6,C,19,5
1701,29,11,C6,A,17,5
1702,26,15,C6,C,19,5
1703,39,13,D6,A,17,5
1704,31,2,D6,C,19,5
1705,34,37,E6,A,17,5
1706,9,14,E6,C,19,5
1707,11,27,F6,A,17,5
1708,13,34,F6,C,19,5
1709,41,18,G6,A,17,5
1710,32,25,G6,C,19,5
1711,18,25,H6,A,17,5
1712,31,9,H6,C,19,5
1713,10,26,A6,B,18,5
1714,15,48,A6,D,20,5
1715,Empty,Empty,B6,B,18,5
1716,15,3,B6,D,20,5
1717,41,2,C6,B,18,5
1718,40,16,C6,D,20,5
1719,40,42,D6,B,18,5
1720,39,6,D6,D,20,5
1721,26,20,E6,B,18,5
1722,21,17,E6,D,20,5
1723,25,22,F6,B,18,5
1724,5,5,F6,D,20,5
1725,38,17,G6,B,18,5
1726,30,41,G6,D,20,5
1727,34,8,H6,B,18,5
1728,27,3,H6,D,20,5
1729,14,30,A7,A,17,5
1730,32,3,A7,C,19,5
1731,25,18,B7,A,17,5
1732,Empty,Empty,B7,C,19,5
1733,31,26,C7,A,17,5
1734,27,18,C7,C,19,5
1735,27,38,D7,A,17,5
1736,32,38,D7,C,19,5
1737,38,47,E7,A,17,5
1738,4,34,E7,C,19,5
1739,38,42,F7,A,17,5
1740,31,37,F7,C,19,5
1741,2,36,G7,A,17,5
1742,13,30,G7,C,19,5
1743,16,7,H7,A,17,5
1744,4,15,H7,C,19,5
1745,38,46,A7,B,18,5
1746,31,30,A7,D,20,5
1747,31,34,B7,B,18,5
1748,14,1,B7,D,20,5
1749,18,6,C7,B,18,5
1750,38,13,C7,D,20,5
1751,14,35,D7,B,18,5
1752,15,43,D7,D,20,5
1753,6,23,E7,B,18,5
1754,21,48,E7,D,20,5
1755,40,5,F7,B,18,5
1756,34,12,F7,D,20,5
1757,40,34,G7,B,18,5
1758,20,21,G7,D,20,5
1759,19,21,H7,B,18,5
1760,17,18,H7,D,20,5
1761,24,20,A8,A,17,5
1762,29,47,A8,C,19,5
1763,13,24,B8,A,17,5
1764,32,34,B8,C,19,5
1765,13,28,C8,A,17,5
1766,25,38,C8,C,19,5
1767,33,47,D8,A,17,5
1768,14,21,D8,C,19,5
1769,28,19,E8,A,17,5
1770,18,34,E8,C,19,5
1771,42,36,F8,A,17,5
1772,19,1,F8,C,19,5
1773,35,39,G8,A,17,5
1774,10,33,G8,C,19,5
1775,18,36,H8,A,17,5
1776,10,2,H8,C,19,5
1777,43,13,A8,B,18,5
1778,14,14,A8,D,20,5
1779,19,25,B8,B,18,5
1780,Empty,Empty,B8,D,20,5
1781,24,5,C8,B,18,5
1782,42,19,C8,D,20,5
1783,33,34,D8,B,18,5
1784,33,42,D8,D,20,5
1785,16,11,E8,B,18,5
1786,38,3,E8,D,20,5
1787,1,47,F8,B,18,5
1788,2,6,F8,D,20,5
1789,10,37,G8,B,18,5
1790,26,35,G8,D,20,5
1791,28,17,H8,B,18,5
1792,17,9,H8,D,20,5
1793,32,1,A9,A,17,5
1794,8,46,A9,C,19,5
1795,12,31,B9,A,17,5
1796,35,47,B9,C,19,5
1797,25,47,C9,A,17,5
